airline,threshold1,threshold2,threshold3,rankThr1,rankThr2,rankThr3,avgRank,acsi_rank,rank_diff
AlaskaAir,4.485939036381514,6.6663560111835976,11.024691358024691,1,1,1,1,1,0
Allegiant,1.932678821879383,2.3696969696969696,3,5,5,5,5,6,1
AmericanAir,1.3902758132956152,1.5439324754393247,2.0190895741556534,7,7,7,7,5,2
Delta,2.1552226383687056,2.8530473135525263,4.175799086757991,3,4,4,4,4,0
FlyFrontier,1.090030518819939,1.010928961748634,0.8243243243243243,8,8,9,8,8,0
JetBlue,2.0171591992373687,2.909090909090909,5.688888888888889,4,3,3,3,3,0
SouthwestAir,2.549025509820152,3.927142857142857,6.462555066079295,2,2,2,2,2,0
SpiritAirlines,1.012298682284041,0.8654797230464887,0.873015873015873,9,9,8,9,9,0
united,1.549537426408747,1.860759493670886,2.5835616438356164,6,6,6,6,7,1
